ispb,nome_completo,nome_reduzido,cnpj,tipo_instituicao,autorizada_bcb,participa_pix,participa_str,status_operacional,fonte_dados,modalidade_pix,iniciacao_pagamento,facilitador_saque,data_inicio_operacao,acesso_principal,participa_compe
00000000,BCO DO BRASIL S.A.,BCO DO BRASIL S.A.,00000000000191,Banco Múltiplo,Sim,Sim,Sim,,PIX+STR,Provedor de Conta Transacional,Sim,Sim,22/04/2002,RSFN,Sim
00000208,BRB - BCO DE BRASILIA S.A.,BRB - BCO DE BRASILIA S.A.,00000208000100,Banco Múltiplo,Sim,Sim,Sim,,PIX+STR,Provedor de Conta Transacional,Sim,Não,22/04/2002,RSFN,Sim
00038121,Banco Central do Brasil - Selic,Selic,,Instituição Financeira,Sim,Não,Sim,Ativo,STR,,Não,Não,22/04/2002,RSFN,Não
00038166,Banco Central do Brasil,Bacen,,Instituição Financeira,Sim,Não,Sim,Ativo,STR,,Não,Não,22/04/2002,RSFN,Não
00068987,CC ARACREDI LTDA.,CC ARACREDI LTDA.,00068987000186,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
00075847,CC UNICRED CENTRO-SUL LTDA - UNICRED CENTRO-SUL,CC UNICRED CENTRO-SUL LTDA - UNICRED CENTRO-SUL,00075847000135,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
00106180,"CCC DOS EST DE MT, MS E MUN DE CACOAL/RO","CCC DOS EST DE MT, MS E MUN DE CACOAL/RO",00106180000190,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
00122327,"SANTINVEST S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS",SANTINVEST S.A. - CFI,,Instituição Financeira,Sim,Não,Sim,Ativo,STR,,Não,Não,17/04/2023,RSFN,Não
00204963,CCR SEARA,CCR SEARA,00204963000107,Cooperativa de Crédito,Sim,Sim,Sim,,PIX+STR,Provedor de Conta Transacional,Não,Não,27/08/2021,RSFN,Sim
00250699,AGK CORRETORA DE CAMBIO S.A.,AGK CC S.A.,,Instituição Financeira,Sim,Não,Sim,Ativo,STR,,Não,Não,21/11/2018,RSFN,Não
00259231,CCLA SICOOB UNIMAIS METROPOLITANA,CCLA SICOOB UNIMAIS METROPOLITANA,00259231000114,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
00309024,CCC ESTADO MG - CECREMGE,CCC ESTADO MG - CECREMGE,00309024000127,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
00315557,UNICRED DO BRASIL,UNICRED DO BRASIL,00315557000111,Cooperativa de Crédito,Sim,Sim,Sim,,PIX+STR,Provedor de Conta Transacional,Sim,Não,28/07/2014,RSFN,Sim
00329598,SEFER INVESTIMENTOS DTVM LTDA,SEFER INVESTIMENTOS DTVM LTDA,00329598000167,Sociedade Distribuidora de TVM,Sim,Sim,Sim,,PIX+STR,Provedor de Conta Transacional,Não,Não,22/02/2021,RSFN,Não
00360305,CAIXA ECONOMICA FEDERAL,CAIXA ECONOMICA FEDERAL,00360305000104,Caixa Econômica Federal,Sim,Sim,Sim,,PIX+STR,Provedor de Conta Transacional,Sim,Sim,22/04/2002,RSFN,Sim
00394460,STN,STN,00394460040950,Governo,Não,Sim,Sim,,PIX+STR,Ente Governamental,Não,nan,22/04/2002,RSFN,Não
00411939,"FINAMAX S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO",FINAMAX S.A. CFI,,Instituição Financeira,Sim,Não,Sim,Ativo,STR,,Não,Não,04/06/2025,Internet,Não
00416968,BANCO INTER,BANCO INTER,00416968000101,Banco Múltiplo,Sim,Sim,Sim,,PIX+STR,Provedor de Conta Transacional,Sim,Sim,15/08/2008,RSFN,Sim
00429890,CC CREDIAGRO,CC CREDIAGRO,00429890000151,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
00460065,COLUNA S/A DISTRIBUIDORA DE TITULOS E VALORES MOBILIÁRIOS,COLUNA S.A. DTVM,,Instituição Financeira,Sim,Não,Sim,Ativo,STR,,Não,Não,07/06/2021,RSFN,Não
00512839,CC SERV. MUN SANTO ANDRÉ SP - CECRESA,CC SERV. MUN SANTO ANDRÉ SP - CECRESA,00512839000109,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
00517645,BCO RIBEIRAO PRETO S.A.,BCO RIBEIRAO PRETO S.A.,00517645000104,Banco Múltiplo,Sim,Sim,Sim,,PIX+STR,Provedor de Conta Transacional,Sim,Não,22/04/2002,RSFN,Não
00556603,BANCO BARI S.A.,BANCO BARI S.A.,00556603000174,Banco Múltiplo,Sim,Sim,Sim,,PIX+STR,Provedor de Conta Transacional,Não,Não,22/07/2019,RSFN,Não
00655522,APE POUPEX,APE POUPEX,00655522000121,Associação de Poupança e Empréstimo,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,Não,,,
00694389,CCLA SICOOB CREDICARU SC/RS,CCLA SICOOB CREDICARU SC/RS,00694389000112,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
00694877,COOP SICOOB EXECUTIVO LTDA.,COOP SICOOB EXECUTIVO LTDA.,00694877000120,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
